year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2004	4	8	SWK25	0.72604	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	9	SWK25	0.72604	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	10	SWK25	0.72604	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	11	SWK25	0.72604	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	12	SWK25	0.72732	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	13	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	14	SWK25	0.72348	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	15	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	16	SWK25	0.72412	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	17	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	18	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	19	SWK25	0.72412	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	20	SWK25	0.72412	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	21	SWK25	0.72412	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	22	SWK25	0.72348	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	23	SWK25	0.72412	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	24	SWK25	0.72348	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	25	SWK25	0.72348	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	26	SWK25	0.72348	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	27	SWK25	0.7222	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	28	SWK25	0.72092	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	29	SWK25	0.71773	1.5	0.06	0.06	0.06	0.06	0.06
2004	4	30	SWK25	0.71645	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	1	SWK25	0.71773	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	2	SWK25	0.71773	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	3	SWK25	0.71773	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	4	SWK25	0.71709	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	5	SWK25	0.71773	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	6	SWK25	0.71517	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	7	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	8	SWK25	0.71517	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	9	SWK25	0.71517	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	10	SWK25	0.70878	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	11	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	12	SWK25	0.70878	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	13	SWK25	0.70814	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	14	SWK25	0.70814	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	15	SWK25	0.70814	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	16	SWK25	0.70814	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	17	SWK25	0.70686	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	18	SWK25	0.70814	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	19	SWK25	0.70878	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	20	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	21	SWK25	0.71006	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	22	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	23	SWK25	0.70942	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	24	SWK25	0.7107	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	25	SWK25	0.7107	1.5	0.06	0.06	0.06	0.06	0.06
2004	5	26	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
