year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2009	12	6	LSK00	0.99472	1	0	0	0	0	0
2009	12	7	LSK00	0.99512	1	0	0	0	0	0
2009	12	8	LSK00	0.99557	1	0	0	0	0	0
2009	12	9	LSK00	0.99562	1	0	0	0	0	0
2009	12	10	LSK00	0.99486	1	0	0	0	0	0
2009	12	11	LSK00	0.99475	1	0	0	0	0	0
2009	12	12	LSK00	0.99486	1	0	0	0	0	0
2009	12	13	LSK00	0.99486	1	0	0	0	0	0
2009	12	14	LSK00	0.9947	1	0	0	0	0	0
2009	12	15	LSK00	0.99439	1	0	0	0	0	0
2009	12	16	LSK00	0.99434	1	0	0	0	0	0
2009	12	17	LSK00	0.99533	1	0	0	0	0	0
2009	12	18	LSK00	0.99549	1	0	0	0	0	0
2009	12	19	LSK00	0.99533	1	0	0	0	0	0
2009	12	20	LSK00	0.99533	1	0	0	0	0	0
2009	12	21	LSK00	0.99594	1	0	0	0	0	0
2009	12	22	LSK00	0.99654	1	0	0	0	0	0
2009	12	23	LSK00	0.99787	1	0	0	0	0	0
2009	12	24	LSK00	0.99787	1	0	0	0	0	0
2009	12	25	LSK00	0.99787	1	0	0	0	0	0
2009	12	26	LSK00	0.99654	1	0	0	0	0	0
2009	12	27	LSK00	0.99654	1	0	0	0	0	0
2009	12	28	LSK00	0.99749	1	0	0	0	0	0
2009	12	29	LSK00	1.00495	1	0	0	0	0	0
2009	12	30	LSK00	1.00696	1	0	0	0	0	0
2009	12	31	LSK00	1.00712	1	0	0	0	0	0
2010	1	1	LSK00	1.00712	0	0.06	0	0	0.02	0.02
2010	1	2	LSK00	1.00696	0	0.06	0	0	0.02	0.02
2010	1	3	LSK00	1.00696	0	0.06	0	0	0.02	0.02
2010	1	4	LSK00	1.0074	0	0.06	0	0	0.02	0.02
2010	1	5	LSK00	1.00868	0	0.06	0	0	0.02	0.02
2010	1	6	LSK00	1.01037	0	0.06	0	0	0.02	0.02
2010	1	7	LSK00	1.0136	0	0.06	0	0	0.02	0.02
2010	1	8	LSK00	1.01352	0	0.06	0	0	0.02	0.02
2010	1	9	LSK00	1.0136	0	0.06	0	0	0.02	0.02
2010	1	10	LSK00	1.0136	0	0.06	0	0	0.02	0.02
2010	1	11	LSK00	1.01479	0	0.06	0	0	0.02	0.02
2010	1	12	LSK00	1.02059	0	0.06	0	0	0.02	0.02
2010	1	13	LSK00	1.02339	0	0.06	0	0	0.02	0.02
2010	1	14	LSK00	1.0245	0	0.06	0	0	0.02	0.02
2010	1	15	LSK00	1.02505	0	0.06	0	0	0.02	0.02
2010	1	16	LSK00	1.0245	0	0.06	0	0	0.02	0.02
2010	1	17	LSK00	1.0245	0	0.06	0	0	0.02	0.02
2010	1	18	LSK00	1.02737	0	0.06	0	0	0.02	0.02
2010	1	19	LSK00	1.02967	0	0.06	0	0	0.02	0.02
2010	1	20	LSK00	1.03068	0	0.06	0	0	0.02	0.02
2010	1	21	LSK00	1.03056	0	0.06	0	0	0.02	0.02
2010	1	22	LSK00	1.03053	0	0.06	0	0	0.02	0.02
2010	1	23	LSK00	1.03056	0	0.06	0	0	0.02	0.02
2010	1	24	LSK00	1.03056	0	0.06	0	0	0.02	0.02
2010	1	25	LSK00	1.03093	0	0.06	0	0	0.02	0.02
2010	1	26	LSK00	1.0315	0	0.06	0	0	0.02	0.02
2010	1	27	LSK00	1.03209	0	0.06	0	0	0.02	0.02
2010	1	28	LSK00	1.03221	0	0.06	0	0	0.02	0.02
2010	1	29	LSK00	1.03222	0	0.06	0	0	0.02	0.02
2010	1	30	LSK00	1.03221	0	0.06	0	0	0.02	0.02
2010	1	31	LSK00	1.03221	0	0.06	0	0	0.02	0.02
2010	2	1	LSK00	1.03135	0	0.06	0	0	0.02	0.02
2010	2	2	LSK00	1.0321	0	0.06	0	0	0.02	0.02
2010	2	3	LSK00	1.03276	0	0.06	0	0	0.02	0.02
2010	2	4	LSK00	1.03246	0	0.06	0	0	0.02	0.02
2010	2	5	LSK00	1.03048	0	0.06	0	0	0.02	0.02
2010	2	6	LSK00	1.03246	0	0.06	0	0	0.02	0.02
2010	2	7	LSK00	1.03246	0	0.06	0	0	0.02	0.02
2010	2	8	LSK00	1.03017	0	0.06	0	0	0.02	0.02
2010	2	9	LSK00	1.03051	0	0.06	0	0	0.02	0.02
2010	2	10	LSK00	1.03063	0	0.06	0	0	0.02	0.02
2010	2	11	LSK00	1.03146	0	0.06	0	0	0.02	0.02
2010	2	12	LSK00	1.03151	0	0.06	0	0	0.02	0.02
2010	2	13	LSK00	1.03146	0	0.06	0	0	0.02	0.02
2010	2	14	LSK00	1.03146	0	0.06	0	0	0.02	0.02
2010	2	15	LSK00	1.03218	0	0.06	0	0	0.02	0.02
2010	2	16	LSK00	1.03326	0	0.06	0	0	0.02	0.02
2010	2	17	LSK00	1.03601	0	0.06	0	0	0.02	0.02
2010	2	18	LSK00	1.03606	0	0.06	0	0	0.02	0.02
2010	2	19	LSK00	1.03553	0	0.06	0	0	0.02	0.02
2010	2	20	LSK00	1.03606	0	0.06	0	0	0.02	0.02
2010	2	21	LSK00	1.03606	0	0.06	0	0	0.02	0.02
2010	2	22	LSK00	1.03523	0	0.06	0	0	0.02	0.02
2010	2	23	LSK00	1.03869	0	0.06	0	0	0.02	0.02
2010	2	24	LSK00	1.03869	0	0.06	0	0	0.02	0.02
2010	2	25	LSK00	1.04115	0	0.06	0	0	0.02	0.02
2010	2	26	LSK00	1.04189	0	0.06	0	0	0.02	0.02
2010	2	27	LSK00	1.04115	0	0.06	0	0	0.02	0.02
2010	2	28	LSK00	1.04115	0	0.06	0	0	0.02	0.02
2010	3	1	LSK00	1.04549	0	0.06	0	0	0.02	0.02
2010	3	2	LSK00	1.04779	0	0.06	0	0	0.02	0.02
2010	3	3	LSK00	1.04807	0	0.06	0	0	0.02	0.02
2010	3	4	LSK00	1.04938	0	0.06	0	0	0.02	0.02
2010	3	5	LSK00	1.05025	0	0.06	0	0	0.02	0.02
2010	3	6	LSK00	1.04938	0	0.06	0	0	0.02	0.02
2010	3	7	LSK00	1.04938	0	0.06	0	0	0.02	0.02
2010	3	8	LSK00	1.05101	0	0.06	0	0	0.02	0.02
2010	3	9	LSK00	1.05302	0	0.06	0	0	0.02	0.02
2010	3	10	LSK00	1.05577	0	0.06	0	0	0.02	0.02
2010	3	11	LSK00	1.05571	0	0.06	0	0	0.02	0.02
2010	3	12	LSK00	1.05555	0	0.06	0	0	0.02	0.02
2010	3	13	LSK00	1.05571	0	0.06	0	0	0.02	0.02
2010	3	14	LSK00	1.05571	0	0.06	0	0	0.02	0.02
2010	3	15	LSK00	1.05612	0	0.06	0	0	0.02	0.02
